,,,,,,,,,,"VCNL4200 data, baseline corrected and converted to 5 minute averages",,,,,,,
date time,RH (%),temp (C) ,LWC counter,rain (mm),visibility (km),vis std dev (km),,bext (1/km),,VCNL1,VCNL2,VCNL3,VCNL4,VCNL5,VCNL6,,
6/1/21 0:00,89.9,9.96,0,0,59.914,3.7267,,0.05007177,,,,,,,,,
6/1/21 0:05,91.8,10.06,0,0,72.287,4.1347,,0.041501238,,0,0,0,0,0,0,,
6/1/21 0:10,88.9,10.31,0,0,73.35,11.228,,0.040899796,,0,0,0,0,0,0,,
6/1/21 0:15,89.3,9.99,0,0,62.618,5.0937,,0.047909547,,0,0,0,0,0,0,,
6/1/21 0:20,91.6,9.96,0,0,72.136,2.1146,,0.041588111,,0,0,0,0,0,0,,
6/1/21 0:25,92.3,10.05,0,0,64.186,4.5489,,0.046739164,,0,0,0,0,0,0,,
6/1/21 0:30,92.6,10.13,0,0,60.236,2.6699,,0.049804104,,0,0,0,0,0,0,,
6/1/21 0:35,91.6,9.93,0,0,60.885,1.622,,0.04927322,,0,0,0,0,0,0,,
6/1/21 0:40,92.4,9.9,0,0,57.328,4.1565,,0.052330449,,0,0,0,0,0,0,,
6/1/21 0:45,92.1,9.55,0,0,51.674,3.663,,0.058056276,,0,0,0,0,0,0,,
6/1/21 0:50,93.9,9.28,0,0,51.269,5.8989,,0.058514892,,0,0,0,0,0,0,,
6/1/21 0:55,94.3,9.49,0,0,58.046,5.3083,,0.051683148,,0,0,0,0,0,0,,
6/1/21 1:00,94.7,9.62,0,0,56.428,4.4397,,0.053165095,,0,0,0,0,0,0,,
6/1/21 1:05,93.6,9.58,0,0,45.719,1.4052,,0.065618233,,0,0,0,0,0,0,,
6/1/21 1:10,94,9.56,0,0,53.555,4.7647,,0.056017179,,0,0,0,0,0,0,,
6/1/21 1:15,93,9.47,0,0,45.264,3.6018,,0.066277837,,0,0,0,0,0,0,,
6/1/21 1:20,93.2,9.36,0,0,49.192,1.0959,,0.060985526,,0,0,0,0,0,0,,
6/1/21 1:25,93.8,9.32,0,0,54.569,3.532,,0.054976269,,0,0,0,0,0,0,,
6/1/21 1:30,92.7,9.35,0,0,57.422,3.2709,,0.052244784,,0,0,0,0,0,0,,
6/1/21 1:35,92.3,9.25,0,0,52.037,2.1985,,0.057651287,,0,0,0,0,0,0,,
6/1/21 1:40,92.6,9.12,0,0,45.405,2.2295,,0.066072019,,0,0,0,0,0,0,,
6/1/21 1:45,93.4,9.05,0,0,44.385,1.5373,,0.067590402,,0,0,0,0,0,0,,
6/1/21 1:50,94.4,9.01,0,0,42.482,4.2839,,0.070618144,,0,0,0,0,0,0,,
6/1/21 1:55,94.7,8.87,0,0,36.021,6.1515,,0.083284751,,0,0,0,0,0,0,,
6/1/21 2:00,95.7,8.91,0,0,44.676,2.4379,,0.067150148,,0,0,0,0,0,0,,
6/1/21 2:05,95.3,8.86,0,0,39.889,0.92707,,0.075208704,,0,0,0,0,0,0,,
6/1/21 2:10,95.5,8.8,0,0,42.194,2.6792,,0.071100156,,0,0,0,0,0,0,,
6/1/21 2:15,95.8,8.8,0,0,41.954,1.8239,,0.071506888,,0,0,0,0,0,0,,
6/1/21 2:20,95.7,8.82,0,0,37.129,6.6541,,0.080799375,,0,0,0,0,0,0,,
6/1/21 2:25,95.8,8.77,0,0,21.721,0.58969,,0.138115188,,0,0,0,0,0,0,,
6/1/21 2:30,96.7,8.83,0,0,35.361,6.6485,,0.08483923,,0,0,0,0,0,0,,
6/1/21 2:35,97.2,8.97,0,0,39.751,3.9161,,0.0754698,,0,0,0,0,0,0,,
6/1/21 2:40,97.4,9.09,0,0,37.817,2.481,,0.079329402,,0,0,0,0,0,0,,
6/1/21 2:45,97.3,9.16,0,0,40.409,2.7907,,0.074240887,,0,0,0,0,0,0,,
6/1/21 2:50,97.5,9.31,0,0,47.752,2.1963,,0.062824594,,0,0,0,0,0,0,,
6/1/21 2:55,96.8,9.38,0,0,41.577,0.55985,,0.072155278,,0,0,0,0,0,0,,
6/1/21 3:00,96.8,9.47,0,0,47.243,2.1444,,0.063501471,,0,0,0,0,0,0,,
6/1/21 3:05,96.2,9.52,0,0,47.691,2.0097,,0.062904951,,0,0,0,0,0,0,,
6/1/21 3:10,96.5,9.68,0,0,48.273,2.3495,,0.062146542,,0,0,0,0,0,0,,
6/1/21 3:15,96.3,9.96,0,0,50.726,1.3965,,0.059141269,,0,0,0,0,0,0,,
6/1/21 3:20,94.6,10.14,0,0,48.645,3.4039,,0.061671292,,0,0,0,0,0,0,,
6/1/21 3:25,93.5,9.97,0,0,28.61,6.7424,,0.104858441,,0,0,0,0,0,0,,
6/1/21 3:30,94.4,9.72,0,0,35.691,3.331,,0.084054804,,0,0,0,0,0,0,,
6/1/21 3:35,95.4,9.72,0,0,39.276,1.9574,,0.076382524,,0,0,0,0,0,0,,
6/1/21 3:40,95.3,9.67,0,0,27.452,3.7295,,0.109281655,,0,0,0,0,0,0,,
6/1/21 3:45,95.1,9.52,0,0,22.04,1.442,,0.136116152,,0,0,0,0,0,0,,
6/1/21 3:50,95.2,9.47,0,0,29.815,2.7401,,0.100620493,,0,0,0,0,0,0,,
6/1/21 3:55,96,9.48,0,0,35.302,1.9321,,0.084981021,,0,0,0,0,0,0,,
6/1/21 4:00,96.5,9.44,0,0,33.38,0.80076,,0.089874176,,0,0,0,0,0,0,,
6/1/21 4:05,96.2,9.36,0,0,22.614,6.0792,,0.132661183,,0,0,0,0,0,0,,
6/1/21 4:10,96.4,9.2,0,0,19.089,2.2678,,0.157158573,,0,0,0,0,0,0,,
6/1/21 4:15,96.9,9.14,0,0,35.071,4.0792,,0.08554076,,0,0,0,0,0,0,,
6/1/21 4:20,96.7,9.11,0,0,43.4,2.8509,,0.069124424,,0,0,0,0,0,0,,
6/1/21 4:25,96.2,9,0,0,32.571,5.768,,0.092106475,,0,0,0,0,0,0,,
6/1/21 4:30,96.4,8.86,0,0,34.415,2.9561,,0.087171292,,0,0,0,0,0,0,,
6/1/21 4:35,96.4,8.79,0,0,29.091,4.8528,,0.103124678,,0,0,0,0,0,0,,
6/1/21 4:40,96.3,8.7,0,0,25.701,2.8106,,0.116726976,,0,0,0,0,0,0,,
6/1/21 4:45,96.3,8.54,0,0,15.863,2.2738,,0.189119334,,0,0,0,0,0,0,,
6/1/21 4:50,97.7,8.64,0,0,21.023,1.1686,,0.142700851,,0,0,0,0,0,0,,
6/1/21 4:55,98.2,8.79,0,0,33.332,3.8134,,0.0900036,,0,0,0,0,0,0,,
6/1/21 5:00,98.1,8.88,0,0,40.136,5.2371,,0.074745864,,0,0,0,0,0,0,,
6/1/21 5:05,97.4,8.87,0,0,28.993,2.2833,,0.103473252,,0,0,0,0,0,0,,
6/1/21 5:10,97,8.71,0,0,24.905,2.7296,,0.120457739,,0,0,0,0,0,0,,
6/1/21 5:15,97.1,8.54,0,0,20.048,1.5079,,0.149640862,,0,0,0,0,0,0,,
6/1/21 5:20,97.6,8.55,0,0,20.389,2.7727,,0.147138163,,0,0,0,0,0,0,,
