datetime,data
6/1/21 12:01 AM,80
6/1/21 12:18 AM,81
6/1/21 12:34 AM,88
6/1/21 12:50 AM,82
6/1/21 1:07 AM,82
6/1/21 1:23 AM,88
6/1/21 1:39 AM,86
6/1/21 1:56 AM,81
6/1/21 2:12 AM,80
6/1/21 2:49 AM,70
6/1/21 3:06 AM,82
6/1/21 3:22 AM,81
6/1/21 3:38 AM,82
6/1/21 3:55 AM,80
6/1/21 4:11 AM,83
6/1/21 4:27 AM,86
6/1/21 4:44 AM,76
6/1/21 5:00 AM,66
6/1/21 5:16 AM,61
6/1/21 5:33 AM,52
6/1/21 5:49 AM,64
6/1/21 6:05 AM,70
6/1/21 6:22 AM,75
6/1/21 6:39 AM,70
6/1/21 6:56 AM,77
6/1/21 7:12 AM,78
6/1/21 7:28 AM,72
6/1/21 7:44 AM,71
6/1/21 8:01 AM,66
6/1/21 8:17 AM,48
6/1/21 8:33 AM,54
6/1/21 8:50 AM,73
6/1/21 9:06 AM,66
6/1/21 9:22 AM,69
6/1/21 9:39 AM,61
6/1/21 9:55 AM,74
6/1/21 10:11 AM,73
6/1/21 10:28 AM,76
6/1/21 10:44 AM,77
6/1/21 11:00 AM,80
6/1/21 11:17 AM,76
6/1/21 11:33 AM,78
6/1/21 11:49 AM,81
6/1/21 12:06 PM,83
6/1/21 12:22 PM,80
6/1/21 12:38 PM,78
6/1/21 12:55 PM,85
6/1/21 1:11 PM,85
6/1/21 1:27 PM,84
6/1/21 1:44 PM,80
6/1/21 2:00 PM,79
6/1/21 2:16 PM,80
6/1/21 2:33 PM,77
6/1/21 2:49 PM,72
6/1/21 3:05 PM,74
6/1/21 3:22 PM,73
6/1/21 3:38 PM,72
6/1/21 3:54 PM,75
6/1/21 4:11 PM,78
6/1/21 4:27 PM,72
6/1/21 4:43 PM,69
6/1/21 5:00 PM,74
6/1/21 5:16 PM,71
6/1/21 5:32 PM,80
6/1/21 5:49 PM,71
6/1/21 6:10 PM,80
6/1/21 6:27 PM,74
6/1/21 6:43 PM,80
6/1/21 6:59 PM,75
6/1/21 7:16 PM,83
6/1/21 7:32 PM,73
6/1/21 7:48 PM,76
6/1/21 8:05 PM,74
6/1/21 8:21 PM,77
6/1/21 8:37 PM,79
6/1/21 8:54 PM,71
6/1/21 9:10 PM,73
6/1/21 9:26 PM,73
6/1/21 9:43 PM,76
6/1/21 9:59 PM,73
6/1/21 10:15 PM,97
6/1/21 10:32 PM,90
6/1/21 10:48 PM,82
6/1/21 11:04 PM,82
6/1/21 11:21 PM,83
6/1/21 11:37 PM,77
6/1/21 11:53 PM,75
6/2/21 12:09 AM,83
6/2/21 12:26 AM,78
6/2/21 12:42 AM,86
6/2/21 12:58 AM,82
6/2/21 1:15 AM,89
6/2/21 1:31 AM,82
6/2/21 1:47 AM,83
6/2/21 2:04 AM,83
6/2/21 2:20 AM,84
6/2/21 2:36 AM,81
6/2/21 2:53 AM,84
6/2/21 3:09 AM,84
6/2/21 3:25 AM,86
6/2/21 3:42 AM,79
6/2/21 3:58 AM,82
6/2/21 4:35 AM,68
6/2/21 4:52 AM,83
6/2/21 5:08 AM,82
6/2/21 5:24 AM,80
6/2/21 5:41 AM,84
6/2/21 5:57 AM,80
6/2/21 6:13 AM,77
6/2/21 6:30 AM,82
6/2/21 6:46 AM,73
6/2/21 7:02 AM,80
6/2/21 7:19 AM,82
6/2/21 7:35 AM,79
6/2/21 7:51 AM,81
6/2/21 8:08 AM,88
6/2/21 8:24 AM,82
6/2/21 8:40 AM,82
6/2/21 8:57 AM,79
6/2/21 9:13 AM,79
6/2/21 9:29 AM,78
6/2/21 9:45 AM,79
6/2/21 10:02 AM,77
6/2/21 10:18 AM,79
6/2/21 10:37 AM,72
6/2/21 10:53 AM,83
6/2/21 11:09 AM,79
6/2/21 11:25 AM,77
6/2/21 11:42 AM,87
6/2/21 11:58 AM,82
6/2/21 12:14 PM,84
6/2/21 12:31 PM,81
6/2/21 12:47 PM,81
6/2/21 1:03 PM,81
6/2/21 1:20 PM,85
6/2/21 1:37 PM,79
6/2/21 1:54 PM,84
6/2/21 2:10 PM,80
6/2/21 2:26 PM,83
6/2/21 2:43 PM,82
6/2/21 3:20 PM,77
6/2/21 3:36 PM,75
6/2/21 4:14 PM,71
6/2/21 4:30 PM,74
6/2/21 4:46 PM,73
6/2/21 5:03 PM,61
6/2/21 5:19 PM,59
6/2/21 5:35 PM,64
6/2/21 5:52 PM,63
6/2/21 6:12 PM,69
6/2/21 6:28 PM,69
6/2/21 6:45 PM,70
6/2/21 7:01 PM,71
6/2/21 7:17 PM,84
6/2/21 7:34 PM,75
6/2/21 7:50 PM,80
6/2/21 8:06 PM,80
6/2/21 8:23 PM,80
6/2/21 8:39 PM,14
6/2/21 8:55 PM,16
6/2/21 9:12 PM,2380
6/2/21 9:28 PM,1823
6/2/21 9:44 PM,2044
6/2/21 10:22 PM,1850
6/2/21 10:38 PM,2111
6/2/21 10:54 PM,2123
6/2/21 11:10 PM,2432
6/2/21 11:27 PM,2435
6/2/21 11:43 PM,2478
6/2/21 11:59 PM,2430
6/3/21 12:37 AM,2491
6/3/21 12:53 AM,2500
6/3/21 1:09 AM,2515
6/3/21 1:26 AM,2521
6/3/21 1:42 AM,2523
6/3/21 1:58 AM,2527
6/3/21 2:15 AM,2535
6/3/21 2:31 AM,2544
6/3/21 2:47 AM,2549
6/3/21 3:04 AM,2554
6/3/21 3:20 AM,2506
6/3/21 3:36 AM,2557
6/3/21 3:53 AM,2563
6/3/21 4:09 AM,2572
6/3/21 4:25 AM,2516
6/3/21 4:42 AM,2573
6/3/21 4:58 AM,2582
