,B_Ext,B_Time,B_Humid,TFTime,TFValue,TDiff
0,0.05007177,2021-06-01 00:00:00,89.9,2021-06-01 00:01:00,80,0 days 00:01:00
1,0.041588111,2021-06-01 00:20:00,91.6,2021-06-01 00:18:00,81,0 days 00:02:00
2,0.04927322,2021-06-01 00:35:00,91.6,2021-06-01 00:34:00,88,0 days 00:01:00
3,0.058514892,2021-06-01 00:50:00,93.9,2021-06-01 00:50:00,82,0 days 00:00:00
4,0.065618233,2021-06-01 01:05:00,93.6,2021-06-01 01:07:00,82,0 days 00:02:00
5,0.054976269,2021-06-01 01:25:00,93.8,2021-06-01 01:23:00,88,0 days 00:02:00
6,0.066072019,2021-06-01 01:40:00,92.6,2021-06-01 01:39:00,86,0 days 00:01:00
7,0.083284751,2021-06-01 01:55:00,94.7,2021-06-01 01:56:00,81,0 days 00:01:00
8,0.071100156,2021-06-01 02:10:00,95.5,2021-06-01 02:12:00,80,0 days 00:02:00
9,0.062824594,2021-06-01 02:50:00,97.5,2021-06-01 02:49:00,70,0 days 00:01:00
10,,,,2021-06-01 03:06:00,82,
11,,,,2021-06-01 03:22:00,81,
12,,,,2021-06-01 03:38:00,82,
13,,,,2021-06-01 03:55:00,80,
14,,,,2021-06-01 04:11:00,83,
15,,,,2021-06-01 04:27:00,86,
16,,,,2021-06-01 04:44:00,76,
17,,,,2021-06-01 05:00:00,66,
18,,,,2021-06-01 05:16:00,61,
19,,,,2021-06-01 05:33:00,52,
20,,,,2021-06-01 05:49:00,64,
21,,,,2021-06-01 06:05:00,70,
22,,,,2021-06-01 06:22:00,75,
23,,,,2021-06-01 06:39:00,70,
24,,,,2021-06-01 06:56:00,77,
25,,,,2021-06-01 07:12:00,78,
26,,,,2021-06-01 07:28:00,72,
27,,,,2021-06-01 07:44:00,71,
28,,,,2021-06-01 08:01:00,66,
29,,,,2021-06-01 08:17:00,48,
30,,,,2021-06-01 08:33:00,54,
31,,,,2021-06-01 08:50:00,73,
32,,,,2021-06-01 09:06:00,66,
33,,,,2021-06-01 09:22:00,69,
34,,,,2021-06-01 09:39:00,61,
35,,,,2021-06-01 09:55:00,74,
36,,,,2021-06-01 10:11:00,73,
37,,,,2021-06-01 10:28:00,76,
38,,,,2021-06-01 10:44:00,77,
39,,,,2021-06-01 11:00:00,80,
40,,,,2021-06-01 11:17:00,76,
41,,,,2021-06-01 11:33:00,78,
42,,,,2021-06-01 11:49:00,81,
43,,,,2021-06-01 12:06:00,83,
44,,,,2021-06-01 12:22:00,80,
45,,,,2021-06-01 12:38:00,78,
46,,,,2021-06-01 12:55:00,85,
47,,,,2021-06-01 13:11:00,85,
48,,,,2021-06-01 13:27:00,84,
49,,,,2021-06-01 13:44:00,80,
50,,,,2021-06-01 14:00:00,79,
51,,,,2021-06-01 14:16:00,80,
52,,,,2021-06-01 14:33:00,77,
53,,,,2021-06-01 14:49:00,72,
54,,,,2021-06-01 15:05:00,74,
55,,,,2021-06-01 15:22:00,73,
56,,,,2021-06-01 15:38:00,72,
57,,,,2021-06-01 15:54:00,75,
58,,,,2021-06-01 16:11:00,78,
59,,,,2021-06-01 16:27:00,72,
60,,,,2021-06-01 16:43:00,69,
61,,,,2021-06-01 17:00:00,74,
62,,,,2021-06-01 17:16:00,71,
63,,,,2021-06-01 17:32:00,80,
64,,,,2021-06-01 17:49:00,71,
65,,,,2021-06-01 18:10:00,80,
66,,,,2021-06-01 18:27:00,74,
67,,,,2021-06-01 18:43:00,80,
68,,,,2021-06-01 18:59:00,75,
69,,,,2021-06-01 19:16:00,83,
70,,,,2021-06-01 19:32:00,73,
71,,,,2021-06-01 19:48:00,76,
72,,,,2021-06-01 20:05:00,74,
73,,,,2021-06-01 20:21:00,77,
74,,,,2021-06-01 20:37:00,79,
75,,,,2021-06-01 20:54:00,71,
76,,,,2021-06-01 21:10:00,73,
77,,,,2021-06-01 21:26:00,73,
78,,,,2021-06-01 21:43:00,76,
79,,,,2021-06-01 21:59:00,73,
80,,,,2021-06-01 22:15:00,97,
81,,,,2021-06-01 22:32:00,90,
82,,,,2021-06-01 22:48:00,82,
83,,,,2021-06-01 23:04:00,82,
84,,,,2021-06-01 23:21:00,83,
85,,,,2021-06-01 23:37:00,77,
86,,,,2021-06-01 23:53:00,75,
87,,,,2021-06-02 00:09:00,83,
88,,,,2021-06-02 00:26:00,78,
89,,,,2021-06-02 00:42:00,86,
90,,,,2021-06-02 00:58:00,82,
91,,,,2021-06-02 01:15:00,89,
92,,,,2021-06-02 01:31:00,82,
93,,,,2021-06-02 01:47:00,83,
94,,,,2021-06-02 02:04:00,83,
95,,,,2021-06-02 02:20:00,84,
96,,,,2021-06-02 02:36:00,81,
97,,,,2021-06-02 02:53:00,84,
98,,,,2021-06-02 03:09:00,84,
99,,,,2021-06-02 03:25:00,86,
100,,,,2021-06-02 03:42:00,79,
101,,,,2021-06-02 03:58:00,82,
102,,,,2021-06-02 04:35:00,68,
103,,,,2021-06-02 04:52:00,83,
104,,,,2021-06-02 05:08:00,82,
105,,,,2021-06-02 05:24:00,80,
106,,,,2021-06-02 05:41:00,84,
107,,,,2021-06-02 05:57:00,80,
108,,,,2021-06-02 06:13:00,77,
109,,,,2021-06-02 06:30:00,82,
110,,,,2021-06-02 06:46:00,73,
111,,,,2021-06-02 07:02:00,80,
112,,,,2021-06-02 07:19:00,82,
113,,,,2021-06-02 07:35:00,79,
114,,,,2021-06-02 07:51:00,81,
115,,,,2021-06-02 08:08:00,88,
116,,,,2021-06-02 08:24:00,82,
117,,,,2021-06-02 08:40:00,82,
118,,,,2021-06-02 08:57:00,79,
119,,,,2021-06-02 09:13:00,79,
120,,,,2021-06-02 09:29:00,78,
121,,,,2021-06-02 09:45:00,79,
122,,,,2021-06-02 10:02:00,77,
123,,,,2021-06-02 10:18:00,79,
124,,,,2021-06-02 10:37:00,72,
125,,,,2021-06-02 10:53:00,83,
126,,,,2021-06-02 11:09:00,79,
127,,,,2021-06-02 11:25:00,77,
128,,,,2021-06-02 11:42:00,87,
129,,,,2021-06-02 11:58:00,82,
130,,,,2021-06-02 12:14:00,84,
131,,,,2021-06-02 12:31:00,81,
132,,,,2021-06-02 12:47:00,81,
133,,,,2021-06-02 13:03:00,81,
134,,,,2021-06-02 13:20:00,85,
135,,,,2021-06-02 13:37:00,79,
136,,,,2021-06-02 13:54:00,84,
137,,,,2021-06-02 14:10:00,80,
138,,,,2021-06-02 14:26:00,83,
139,,,,2021-06-02 14:43:00,82,
140,,,,2021-06-02 15:20:00,77,
141,,,,2021-06-02 15:36:00,75,
142,,,,2021-06-02 16:14:00,71,
143,,,,2021-06-02 16:30:00,74,
144,,,,2021-06-02 16:46:00,73,
145,,,,2021-06-02 17:03:00,61,
146,,,,2021-06-02 17:19:00,59,
147,,,,2021-06-02 17:35:00,64,
148,,,,2021-06-02 17:52:00,63,
149,,,,2021-06-02 18:12:00,69,
